ሂበ	hibə	find-SBJ.1SG-MOOD.GERNDV	find	ሃበ		
ሂቡ	hibu	find-SBJ.3SG.MASC-MOOD.GERNDV	find	ሃበ		
ሂቡወን	hibuwən	find-SBJ.3SG.MASC-OBJ.3PL.FEM-MOOD.GERNDV	find	ሃበ		
ሂብና	hibɨna	find-SBJ.1PL-MOOD.GERNDV	find	ሃበ		
ሂብናላ	hibɨnala	find-SBJ.1PL-OBJ.3SG.FEM.PREP-MOOD.GERNDV	find	ሃበ		
ሂብናዮም	hibɨnajom	find-SBJ.1PL-OBJ.3PL.MASC-MOOD.GERNDV	find	ሃበ		
ሂብካ	hibɨka	find-SBJ.2SG.MASC-MOOD.GERNDV	find	ሃበ		
ሂብካዮ	hibɨkajo	find-SBJ.2SG.MASC-OBJ.3SG.MASC-MOOD.GERNDV	find	ሃበ		
ሂብዎ	hibɨwo	find-SBJ.3SG.MASC-OBJ.3SG.MASC-MOOD.GERNDV	find	ሃበ		
ሂቦሙሉ	hibomulu	find-SBJ.3PL.MASC-OBJ.3SG.MASC.PREP-MOOD.GERNDV	find	ሃበ		
ሂቦሙና	hibomuna	find-SBJ.3PL.MASC-OBJ.1PL-MOOD.GERNDV	find	ሃበ		
ሃሊኻ	halixa	hələwə-SBJ.2SG.MASC-MOOD.GERNDV	hələwə	ሀለወ		
ሃልዩ	halɨju	hələwə-SBJ.3SG.MASC-MOOD.GERNDV	hələwə	ሀለወ		
ሃበኒ	habəni	find-SBJ.3SG.MASC-OBJ.1SG-MOOD.PERF	find-ed	ሃበ		
ሃቡኒ	habuni	find-SBJ.2PL.MASC-OBJ.1SG-MOOD.IMP	find	ሃበ		
ሃብዎ	habɨwo	find-SBJ.2PL.MASC-OBJ.3SG.MASC-MOOD.IMP	find	ሃበ		
ሃነጽኩ	hanət͡sʼɨku	hənət͡sʼə-SBJ.1SG-MOOD.PERF	hənət͡sʼə-ed	ሀነጸ		
ሃደመ	hadəmə	hədəmə-SBJ.3SG.MASC-MOOD.PERF	hədəmə-ed	ሀደመ		
ሃዲሙ	hadimu	hədəmə-SBJ.3SG.MASC-MOOD.GERNDV	hədəmə	ሀደመ		
ለሚና	ləmina	appeal-SBJ.1PL-MOOD.GERNDV	appeal	ለመነ		
ለምን	ləmɨn	appeal-SBJ.2SG.MASC-MOOD.IMP	appeal	ለመነ		
